"accountId";"cardId";"operation";"merchant";"brandMerchant";"mcc";"purchaseAmount";"purchaseDate"
"251031";"140379";"Compra Pré-Pago Débito Visa";"Visa";"POSTO BARAO DE AR        ARARAS       BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"3800.00";"2024-10-03 00:06:00"
"77333";"77325";"Compra Pré-Pago Débito Visa";"Visa";"FLANNIGANS               LONDRINA     BR";"DRINKING PLACES (ALCOHOLIC BEVERAGES) - BARS, TAVERNS, NIGHTCLUBS, COCKTAIL LOUNGES, AND DISCOTHEQUES";"84.00";"2024-10-03 00:06:00"
"42309";"69860";"Compra Pré-Pago Débito Visa";"Visa";"EIXO SP CONCESSIONARIA   Sao Carlos   BR";"TOLL AND BRIDGE FEES";"63.50";"2024-10-03 00:13:00"
"281914";"162036";"Compra Pré-Pago Débito Visa";"Visa";"BAR DA CARLA             SALES OLIVEIRBR";"PACKAGE STORES - BEER, WINE, AND LIQUOR";"86.00";"2024-10-03 00:16:00"
"177747";"134503";"Compra Pré-Pago Débito Visa";"Visa";"JOSE MILTON FOGLIATTO    SAO GABRIEL DBR";"FAST FOOD RESTAURANTS";"24.00";"2024-10-03 00:16:00"
"210617";"173287";"Compra Pré-Pago Débito Visa";"Visa";"POSTO DO TREVO           PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"9.00";"2024-10-03 00:23:00"
"251031";"140379";"Compra Pré-Pago Débito Visa";"Visa";"CHURRASCARIA 7           ARARAS       BR";"EATING PLACES AND RESTAURANTS";"16.00";"2024-10-03 00:28:00"
"42309";"69860";"Compra Pré-Pago Débito Visa";"Visa";"CHURRASCARIA E ARMAZEM   Rio Claro    BR";"EATING PLACES AND RESTAURANTS";"13.50";"2024-10-03 00:31:00"
"149453";"142510";"Compra Pré-Pago Débito Visa";"Visa";"POSTO O CUPIM - PONTA    PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2031.30";"2024-10-03 00:31:00"
"150208";"138630";"Compra Pré-Pago Débito Visa";"Visa";"PG *TON BAR CAMINHO      PONTAL       BR";"FAST FOOD RESTAURANTS";"52.00";"2024-10-03 00:38:00"
"108482";"108471";"Compra Pré-Pago Débito Visa";"Visa";"EPR LITORAL PIONE        CURITIBA     BR";"TOLL AND BRIDGE FEES";"68.40";"2024-10-03 00:39:00"
"308768";"53554";"Compra Pré-Pago Débito Visa";"Visa";"CHURRASCARIA E LANCH DO  DELTA        BR";"EATING PLACES AND RESTAURANTS";"63.00";"2024-10-03 00:42:00"
"192105";"40014";"Compra Pré-Pago Débito Visa";"Visa";"RESTAURANTE JUMBO        Nova AlvoradaBR";"SECURITY BROKERS AND DEALERS";"5.00";"2024-10-03 00:47:00"
"192105";"40014";"Compra Pré-Pago Débito Visa";"Visa";"NOVA ABASTECEDORA        NOVA ALVORADABR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"400.00";"2024-10-03 00:53:00"
"305284";"111433";"Compra Pré-Pago Débito Visa";"Visa";"PostoItamaraty           FRANCA       BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"467.20";"2024-10-03 00:54:00"
"303046";"118143";"Compra Pré-Pago Débito Visa";"Visa";"AUTOBAN                  VALINHOS     BR";"TOLL AND BRIDGE FEES";"115.20";"2024-10-03 00:56:00"
"306320";"171479";"Compra Pré-Pago Débito Visa";"Visa";"MNM COM DE COMBUSTIV     GUARAPUAVA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"288.99";"2024-10-03 01:01:00"
"89250";"55767";"Compra Pré-Pago Débito Visa";"Visa";"PostoBv                  GUARAPUAVA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"539.00";"2024-10-03 01:04:00"
"173069";"110246";"Compra Pré-Pago Débito Visa";"Visa";"PAYGO*EDEL NEGOCIOS IM   VENTANIA     BR";"REAL ESTATE AGENTS AND MANAGERS - RENTALS";"34.00";"2024-10-03 01:06:00"
